city,tp_scheme,fp_number,area_excel,area_geometry,diff_pct,validation_status,road_width_m,road_edges
Surat,TP14,8,3492.0,6206.58,77.74,FAIL,,
Surat,TP14,80,3469.0,3470.6,0.05,OK,,
Surat,TP14,81,5214.0,5215.06,0.02,OK,,
Surat,TP14,82,5890.0,5890.26,0.0,OK,,
Surat,TP14,83,3680.0,3683.94,0.11,OK,,
Surat,TP14,84,3468.0,3472.78,0.14,OK,,
Surat,TP14,85,3682.0,3684.9,0.08,OK,,
Surat,TP14,86,4526.0,4507.91,-0.4,OK,,
Surat,TP14,87,3681.0,3657.03,-0.65,OK,,
Surat,TP14,88,10195.0,10176.87,-0.18,OK,,
Surat,TP14,89,3679.0,3662.78,-0.44,OK,,
Surat,TP14,9,4857.0,4861.96,0.1,OK,,
Surat,TP14,90,181.0,186.1,2.82,OK,,
Surat,TP14,91,4757.0,4733.39,-0.5,OK,,
Surat,TP14,92,2902.0,2902.53,0.02,OK,,
Surat,TP14,93,2929.0,2923.54,-0.19,OK,,
Surat,TP14,94/1,4619.0,4619.11,0.0,OK,,
Surat,TP14,94/2,656.0,647.1,-1.36,OK,,
Surat,TP14,95,2353.0,2343.08,-0.42,OK,,
Surat,TP14,96,8558.0,8542.79,-0.18,OK,,
Surat,TP14,97,1427.0,1427.84,0.06,OK,,
Surat,TP14,98,1424.0,5315.46,273.28,FAIL,,
Surat,TP14,99,2483.0,2464.75,-0.74,OK,,
